title,workshop_id,packageId,collection_core,collection_content,collection_cosmetics,category,steam_url
(unavailable 2164584341),2164584341,murmur.bodypartsrot,1,0,0,"Medical, needs & hygiene",https://steamcommunity.com/sharedfiles/filedetails/?id=2164584341
(unavailable 2768240773),2768240773,mosi.stubblyfacialhair,0,0,1,"Hair, bodies & animations",https://steamcommunity.com/sharedfiles/filedetails/?id=2768240773
(unavailable 2792624577),2792624577,mosi.vfec.doubletents,0,1,0,"Furniture, decor & props",https://steamcommunity.com/sharedfiles/filedetails/?id=2792624577
(unavailable 2920418046),2920418046,azami.alphaanimalsretexture,0,1,0,Textures & retextures,https://steamcommunity.com/sharedfiles/filedetails/?id=2920418046
(unavailable 3015087560),3015087560,kupie.vfeallvehiclesrenamable,1,0,0,"Vehicles, gravships & mechs",https://steamcommunity.com/sharedfiles/filedetails/?id=3015087560
(unavailable 3226502149),3226502149,calltradeships.cavenaugh.rw,1,0,0,"World, biomes, factions & travel",https://steamcommunity.com/sharedfiles/filedetails/?id=3226502149
(unavailable 3309016770),3309016770,guppyfacesarecute.bettervomit,1,0,0,"Medical, needs & hygiene",https://steamcommunity.com/sharedfiles/filedetails/?id=3309016770
(unavailable 3626568203),3626568203,jintuzilamian.hairstyle.afuwomenshairstyles,0,0,1,"Hair, bodies & animations",https://steamcommunity.com/sharedfiles/filedetails/?id=3626568203
(unavailable 3626568306),3626568306,jintuzilamian.hairstyle.afumenshairstyles,0,0,1,"Hair, bodies & animations",https://steamcommunity.com/sharedfiles/filedetails/?id=3626568306
(unavailable 3628433732),3628433732,xubisca.mightylivertweak,0,1,0,"Genes, xenotypes & races",https://steamcommunity.com/sharedfiles/filedetails/?id=3628433732
(unavailable 3680510302),3680510302,,1,0,0,"Medical, needs & hygiene",https://steamcommunity.com/sharedfiles/filedetails/?id=3680510302
(unavailable 3712465624),3712465624,,0,1,0,Gameplay tweaks,https://steamcommunity.com/sharedfiles/filedetails/?id=3712465624
(unavailable 3775906812),3775906812,guppyfacesarecute.skunks,0,1,0,Animals,https://steamcommunity.com/sharedfiles/filedetails/?id=3775906812
(unavailable 3778487830),3778487830,guppyfacesarecute.starfix,1,0,0,Gameplay tweaks,https://steamcommunity.com/sharedfiles/filedetails/?id=3778487830
1trickPwnyta's Anomaly Patch,3242000764,anomalypatch.1trickpwnyta,1,0,0,Patches & compatibility,https://steamcommunity.com/sharedfiles/filedetails/?id=3242000764
1trickPwnyta's Odyssey Patch,3578444636,odysseypatch.1trickpwnyta,1,0,0,Patches & compatibility,https://steamcommunity.com/sharedfiles/filedetails/?id=3578444636
[1.5-1.6] Custom Xenotype Exporter Tool,3254345251,gege.customxenotypeexportertoolreupload,1,0,0,Performance & tools,https://steamcommunity.com/sharedfiles/filedetails/?id=3254345251
[1.6] CAI 5000 - Advanced AI + Fog Of War (continued),3673768803,Krkr.rule56,1,0,0,"Combat, weapons & raids",https://steamcommunity.com/sharedfiles/filedetails/?id=3673768803
[1001] Unofficial Vanilla Outposts Expanded Expanded: Trading (Continued),2889112010,papercrane1001.uvoee.trading,1,0,0,Vanilla Expanded,https://steamcommunity.com/sharedfiles/filedetails/?id=2889112010
[Alpha] Anomaly Remix: Gray Pall,3657090812,anomalyremixgraypall.1trickPwnyta,1,0,0,Alpha series,https://steamcommunity.com/sharedfiles/filedetails/?id=3657090812
[AP] Hunting Meme 1.6 (Temp),3535691822,ap.huntingmeme,0,1,0,Animals,https://steamcommunity.com/sharedfiles/filedetails/?id=3535691822
[AV] Mechanoid Skins,3667667489,Veltaris.MechanoidSkins,0,0,1,Textures & retextures,https://steamcommunity.com/sharedfiles/filedetails/?id=3667667489
[CF] Anomaly Upscaled 2x,3538584455,cf.anomalyupscaled2x,1,0,0,Textures & retextures,https://steamcommunity.com/sharedfiles/filedetails/?id=3538584455
[CF] Better Looking Plants,3167083455,better.plants,1,0,0,Textures & retextures,https://steamcommunity.com/sharedfiles/filedetails/?id=3167083455
[CF] Odyssey Upscaled 2x,3535506453,cf.odysseyupscaled2x,1,0,0,Textures & retextures,https://steamcommunity.com/sharedfiles/filedetails/?id=3535506453
[CF] VRE - Lycanthrope Better Parts,3578135470,cf.lycanthrope,0,1,0,Gameplay tweaks,https://steamcommunity.com/sharedfiles/filedetails/?id=3578135470
[CF] VRE - Sanguophage Better Parts,3165181669,vres.betterparts,1,0,0,"Genes, xenotypes & races",https://steamcommunity.com/sharedfiles/filedetails/?id=3165181669
[CF] VRE - Saurid Better Head Parts,3539916610,cf.vresaurid,0,1,0,Gameplay tweaks,https://steamcommunity.com/sharedfiles/filedetails/?id=3539916610
[CM] Ideology DLC Texture Upscale,2603637629,cm.ideology.upscaled,1,0,0,Textures & retextures,https://steamcommunity.com/sharedfiles/filedetails/?id=2603637629
[CNEIO] More Reasonable Mortars,3586669021,cn.morereasonablemortars,1,0,0,"Combat, weapons & raids",https://steamcommunity.com/sharedfiles/filedetails/?id=3586669021
[DHM]MyDogsHouse,3490848177,drilledhead.mydogshouse,0,1,0,Gameplay tweaks,https://steamcommunity.com/sharedfiles/filedetails/?id=3490848177
[DHM]Wallpenmarker,3707830801,drilledhead.Wallpenmarker,0,1,0,"Furniture, decor & props",https://steamcommunity.com/sharedfiles/filedetails/?id=3707830801
[DR] Dream's Damage Indicators,3789796309,mjcg.drdamageindicators,1,0,0,"Combat, weapons & raids",https://steamcommunity.com/sharedfiles/filedetails/?id=3789796309
[DR] Save Without Restart,3599419929,mjcg.savewithoutrestart,1,0,0,Performance & tools,https://steamcommunity.com/sharedfiles/filedetails/?id=3599419929
[DR] Where's My Treasure,3559591864,mjcg.wheresmytreasure,1,0,0,Gameplay tweaks,https://steamcommunity.com/sharedfiles/filedetails/?id=3559591864
[EN] Unagi Animal Mod Big Pom English Translation,3511764759,hol.bigpom,0,1,0,Animals,https://steamcommunity.com/sharedfiles/filedetails/?id=3511764759
[FM] DBH Addon: Expanded Pack,3125246043,farxmai2.dbh.expanded,1,0,0,"Medical, needs & hygiene",https://steamcommunity.com/sharedfiles/filedetails/?id=3125246043
[FSF] Better Exploration Loot,3526957922,frozensnowfox.betterexplorationloot,1,0,0,Gameplay tweaks,https://steamcommunity.com/sharedfiles/filedetails/?id=3526957922
[FSF] Better Pawn Lending Quest,2551381293,frozensnowfox.betterpawnlendingquest,1,0,0,"World, biomes, factions & travel",https://steamcommunity.com/sharedfiles/filedetails/?id=2551381293
[GMT] Trading Spot,2874517333,grizzlemethis.tradingspot.rw,1,0,0,Gameplay tweaks,https://steamcommunity.com/sharedfiles/filedetails/?id=2874517333
[HRK] Medieval deathrest coffin,2881104575,harkon.biotechaddon.medievaldeathrestcoffin,1,0,0,"Furniture, decor & props",https://steamcommunity.com/sharedfiles/filedetails/?id=2881104575
[JF] Royal Carpets,2977701969,jf.royalcarpets,0,1,0,"Furniture, decor & props",https://steamcommunity.com/sharedfiles/filedetails/?id=2977701969
[LC] Collector Ideology,3535706184,lc.collectorideo,0,1,0,Ideology & social,https://steamcommunity.com/sharedfiles/filedetails/?id=3535706184
[lmgginspace] Force Do Job,3226046759,forcedojob.kv.rw,1,0,0,Quality of life,https://steamcommunity.com/sharedfiles/filedetails/?id=3226046759
[LTO] Colony Groups,2345493945,derekbickley.ltocolonygroupsfinal,1,0,0,UI & information,https://steamcommunity.com/sharedfiles/filedetails/?id=2345493945
[LYN] HD Corporate and Hedonist Apparel,3333314985,lyn.hdcha,1,0,0,"Apparel, styles & cosmetics",https://steamcommunity.com/sharedfiles/filedetails/?id=3333314985
[LYN] Military Ideology,3756513437,LynTheCookie.MilitaryIdeology,0,1,0,Ideology & social,https://steamcommunity.com/sharedfiles/filedetails/?id=3756513437
[LYN] VVE Renamed,3014810352,lyn.vverenamed,1,0,0,Gameplay tweaks,https://steamcommunity.com/sharedfiles/filedetails/?id=3014810352
[Mk] Mako's Animal Cages Retexture - Doors Closed,3520803100,mako.cageretexclosed,0,1,0,Textures & retextures,https://steamcommunity.com/sharedfiles/filedetails/?id=3520803100
[MUS]哥特式吸血鬼家具 Gothicstyle Vampire Furniture,3102678787,mingtuwuxiang.gothicdecorative,0,0,1,"Furniture, decor & props",https://steamcommunity.com/sharedfiles/filedetails/?id=3102678787
[MUS]太空基地家具Space Base Furniture,3523916780,mingtuwuxiang.spacebasedecorative,0,0,1,"Furniture, decor & props",https://steamcommunity.com/sharedfiles/filedetails/?id=3523916780
[MUS]捕鱼装饰 FishingDecorative,2981211719,mingtuwuxiang.fishingdecorative,0,0,1,"Furniture, decor & props",https://steamcommunity.com/sharedfiles/filedetails/?id=2981211719
[NL] Facial Animation - WIP,1635901197,nals.facialanimation,0,0,1,"Hair, bodies & animations",https://steamcommunity.com/sharedfiles/filedetails/?id=1635901197
[Og] Automatic Power Switch,3031634496,og.automaticpowerswitch,1,0,0,"Building, production & storage",https://steamcommunity.com/sharedfiles/filedetails/?id=3031634496
[Og] Immersive Filter,3735827910,Og.Immersive.Filter,0,0,1,"Apparel, styles & cosmetics",https://steamcommunity.com/sharedfiles/filedetails/?id=3735827910
[OWL] Mercenary Outposts Expanded,3651517872,eagleowl.mercenaryoutpostsexpanded,0,1,0,"Building, production & storage",https://steamcommunity.com/sharedfiles/filedetails/?id=3651517872
[PL] Female Variant Clothing: For Fat Bodies,3771446780,Pumpkinlass.FeminineTextureVarieties,1,0,0,"Hair, bodies & animations",https://steamcommunity.com/sharedfiles/filedetails/?id=3771446780
[PL] Pumpkin Female Body for Xenotypes,3786057800,sd.pl.pumpkinbody.xenotypes,1,0,0,"Hair, bodies & animations",https://steamcommunity.com/sharedfiles/filedetails/?id=3786057800
[QoL] OpenDatDoor,3436298489,guezzy.opendatdoor,1,0,0,"Building, production & storage",https://steamcommunity.com/sharedfiles/filedetails/?id=3436298489
[RH2] CPERS: Arrest Here!,2563157350,rh2.cpers.arrest.here,1,0,0,Gameplay tweaks,https://steamcommunity.com/sharedfiles/filedetails/?id=2563157350
[sbz] BioReactor retexture,2618249368,jgh.bioreactor,0,1,0,Textures & retextures,https://steamcommunity.com/sharedfiles/filedetails/?id=2618249368
[sbz] Bookcase,3789304104,sbz.Bookcase,0,1,0,"Building, production & storage",https://steamcommunity.com/sharedfiles/filedetails/?id=3789304104
[sbz] Cryogenic Tank,3517096449,sbz.cryogenictank,0,1,0,"Building, production & storage",https://steamcommunity.com/sharedfiles/filedetails/?id=3517096449
[sbz] EPOE retexture,2616058883,JGH.EPOE,0,1,0,Textures & retextures,https://steamcommunity.com/sharedfiles/filedetails/?id=2616058883
[sbz] Fridge,3486264784,sbz.neatstoragefridge,1,0,0,"Building, production & storage",https://steamcommunity.com/sharedfiles/filedetails/?id=3486264784
[sbz] Gravship Storage,3537905298,sbz.gravshipstorage,1,0,0,"Building, production & storage",https://steamcommunity.com/sharedfiles/filedetails/?id=3537905298
[sbz] Human Power Generator retexture,2635855505,jgh.humangenerator,0,1,0,Textures & retextures,https://steamcommunity.com/sharedfiles/filedetails/?id=2635855505
[sbz] Neat Storage,3416243474,sbz.neatstorage,1,0,0,"Building, production & storage",https://steamcommunity.com/sharedfiles/filedetails/?id=3416243474
[sbz] WVC - Work Modes retexture,2913464579,jgh.wvcwvc,1,0,0,Textures & retextures,https://steamcommunity.com/sharedfiles/filedetails/?id=2913464579
[SR]Factional War (fork),3423264477,sr.modrimworld.factionalwarcontinued,1,0,0,"Combat, weapons & raids",https://steamcommunity.com/sharedfiles/filedetails/?id=3423264477
